outer_id,gene,max_abs_coef,sign_by_class
1,HMGB1P17,0.23216036994300157,"[0, -1, 0]"
1,ANKS1B,0.23156494698460212,"[-1, 0, 0]"
1,ZMIZ2,0.23014857776096573,"[0, 1, -1]"
1,SLC25A17,0.2274815147491969,"[0, -1, 0]"
1,FXYD2,0.22631321455526923,"[0, 1, 0]"
1,LDLRAD4,0.2241847224574969,"[0, 1, 0]"
1,CD68,0.2200960973664244,"[1, -1, 0]"
1,FETUB,0.21871018965928382,"[0, 0, 1]"
1,CCL20,0.213298165949547,"[0, 0, 1]"
1,ARHGAP17,0.21228662523198064,"[0, 0, -1]"
1,ARNTL,0.2101108592274892,"[0, 0, -1]"
1,CCR8,0.20966529593352476,"[-1, 0, 0]"
1,HNRNPD,0.20654166297355397,"[-1, 0, 0]"
1,CDR1,0.20363963904487636,"[1, 0, 0]"
1,GALR1,0.20247748073092942,"[-1, 1, 0]"
1,AC074212.6,0.19983885167811108,"[0, 0, 1]"
1,RP11-457I16.2,0.19940345675887156,"[1, 0, 0]"
1,ZIC1,0.1991794962189616,"[0, 0, 1]"
1,VILL,0.19728343216648686,"[0, 0, -1]"
1,GUCY2C,0.19720079167112733,"[-1, 0, 0]"
1,LINC00652,0.19565910287099406,"[1, 0, 0]"
1,ACTB,0.19498019895428742,"[0, 0, 1]"
1,TCR-alpha,0.1898896375864955,"[0, 1, 0]"
1,MED22,0.18858981839002317,"[0, 0, -1]"
1,RPL24,0.1871568441443765,"[0, 0, 1]"
1,POLE2,0.18645301091607966,"[0, 0, 1]"
1,KIAA1614,0.18609765225719405,"[0, -1, 0]"
1,SCG2,0.1825522347619828,"[-1, 0, 0]"
1,RNF126,0.17409208618731872,"[0, -1, 0]"
1,MAGEC1,0.17350741217665536,"[0, 1, 0]"
1,NTN1,0.17216015857039685,"[0, -1, 0]"
1,RPS3A,0.17170161536878198,"[0, 0, -1]"
1,MYBPH,0.17123627666456445,"[1, -1, 0]"
1,PRKCA,0.16976610027702727,"[0, 1, 0]"
1,GSTCD,0.1693946061270358,"[0, 1, 0]"
1,ZNF235,0.16765851141239133,"[0, 0, 1]"
1,OR1G1,0.16722352169099428,"[-1, 0, 0]"
